ds,y,yhat,yhat_lower,yhat_upper,anomaly
2023-10-30,86.69885416666666,70.98806130972302,51.43192113265394,90.37161280909561,False
2023-10-31,87.21489583333333,67.97104919824807,48.288488889355456,86.76389958478174,True
2023-11-01,82.99885416666667,65.23097676974305,45.307248370631015,84.29797042863792,False
2023-11-02,78.18302083333333,63.01899644992781,44.84329215895135,83.65382084132658,False
2023-11-03,75.21843750000001,61.20795947781809,40.80337863300305,81.27583485459019,False
2023-11-04,80.49125,59.12197177630043,39.01082830009507,77.88786590521244,True
2023-11-05,79.498125,56.85487590714767,36.494071188292665,75.2755958637827,True
2023-11-06,76.84322916666666,55.14460772951459,35.562831799471354,75.19278129903344,True
2023-11-07,76.30458333333333,53.74876048115645,35.07077455934089,73.66343198378945,True
2023-11-08,77.0678125,52.647053976653325,33.72161810300283,73.37739505282504,True
2023-11-09,73.81864583333333,52.06866609017798,33.86972794947306,72.97586601302783,True
2023-11-10,70.64447916666667,51.865499994310184,32.9949453994593,71.39096967005918,False
2023-11-11,65.399375,51.342054488114215,32.270939882957194,69.86960833642543,False
2023-11-12,64.99885416666667,50.57418227584605,31.31639815983044,69.56388901189968,False
2023-11-13,64.21927083333334,50.283680825307464,31.352620519809264,70.22977195407968,False
2023-11-14,64.92614583333334,50.21404560629633,30.71385082143565,69.69355584511614,False
2023-11-15,66.22770833333333,50.333081581526876,30.885360689430495,69.40242297274752,False
2023-11-16,66.95302083333333,50.860329390979935,30.260633533146837,70.93087409439376,False
2023-11-17,69.0103125,51.64038004178669,30.7271062789663,70.814986988796,False
2023-11-18,73.205,51.972746792271714,31.594258256456058,69.9192558277418,True
2023-11-19,73.550625,51.93058138576253,32.394128054887084,70.81629541617451,True
2023-11-20,74.21614583333333,52.23518240143377,32.260964459345715,72.04729537878454,True
2023-11-21,73.2296875,52.631629392240825,31.009367251341175,73.65153529222707,False
2023-11-22,73.32677083333333,53.09124315826538,33.95272451937474,71.17729612832325,True
2023-11-23,75.7471875,53.83883354318498,33.83838789050909,73.01666327258626,True
2023-11-24,76.63083333333334,54.7258138430639,35.93498086790918,74.27218918854048,True
2023-11-25,71.57895833333333,55.05985598058101,33.92322073940937,75.05969216026939,False
2023-11-26,65.32083333333334,54.923379111428666,36.387292715688105,74.87272376472738,False
2023-11-27,66.09364583333333,55.04782485269437,34.48547342273332,74.57426011871259,False
2023-11-28,67.71635416666668,55.189058010732154,34.830319887867695,74.84161913739332,False
2023-11-29,65.75073684210525,55.3295980346346,36.60984080734659,74.68969606188762,False
2023-11-30,62.53114583333333,55.705647030828956,35.617316477598635,74.70232883097738,False
2023-12-01,61.62614583333333,56.179997362105986,37.71561069577407,75.91163361644364,False
2023-12-02,64.43541666666667,56.07149633863675,37.09027141995469,74.37400333655772,False
2023-12-03,67.0996875,55.4733633954885,36.58938659958368,75.24813982196923,False
2023-12-04,67.96427083333333,55.12731502004774,36.90107701460042,75.34643682330125,False
2023-12-05,69.39520833333333,54.798837714354846,35.052877396000916,73.94515470739047,False
2023-12-06,67.6021875,54.479314992045445,33.80706379701778,72.72074299598002,False
2023-12-07,61.20697916666666,54.412974346430374,36.52221079954129,73.79424559595728,False
2023-12-08,58.8940625,54.46973679393867,34.53664467827668,75.66071653641585,False
2023-12-09,61.06145833333333,53.97464550817711,35.33181299968428,72.89477525045521,False
